Component,Quantity,Price (INR),Direct Link
Robocraze ESP32 Development Board,1,529,https://amzn.in/d/04LOg7oz
"3.5"" IPS Capacitive Touch Screen for ESP32",1,2551,https://mou.sr/4eNpNIP
WS2812B 5050 SMD RGB LED Light Strip,1,460,https://harishprojects.com/products/ws2812b-rgb-strip-light-programmable-pixel-led-light-5-meter-length?variant=45331583926450
KY-040 Rotary Encoder Module,2,131,https://amzn.in/d/0c90UuRS
TP4056 5V 1A 18650 Lithium Battery Charging Module,1,114,https://amzn.in/d/05qAspTv
4S 2 Cell 18650 Battery Holder Case 50C LiPo,1,25,https://harishprojects.com/products/2-cells-18650-battery-holder-buy-5-get-2-switch-button-free?variant=44431198060722
18650 Cell,2,161,https://amzn.in/d/0bkpGKBr
3D Printed material + Acrylic ,1,1500,Local Market
,TOTAL : ,5471,
